from,to,weight
A,E,1
B,E,2
C,E,3
D,E,2
A,B,1
B,A,1
A,C,1
B,C,1
A,D,0
B,D,1
C,A,0
C,B,1
C,D,0
D,A,0
D,B,0
D,C,0
